id,player,sets_diff,win,points_win,points_lose,points_diff,points_total,match_time,idx
M Smrcek_27722,M Smrcek,-3,0,23,33,-10,56,2021-07-18 13:30:00,500147
Anatolii Kovalenko_166873,Anatolii Kovalenko,-2,0,32,40,-8,72,2021-07-18 13:30:00,500148
Adam Sochor_167051,Adam Sochor,2,1,40,37,3,77,2021-07-18 13:30:00,500149
Ihor Syniavskyi_2067360235,Ihor Syniavskyi,-2,0,40,44,-4,84,2021-07-18 13:30:00,500150
M Davydov_123807,M Davydov,1,1,38,47,-9,85,2021-07-18 13:33:00,500151
Roman Makarenko_166888,Roman Makarenko,3,1,33,21,12,54,2021-07-18 13:35:00,500152
Oleksandr Shkurupii_630791654,Oleksandr Shkurupii,-2,0,31,41,-10,72,2021-07-18 13:35:00,500153
Lev Kats_1524666048,Lev Kats,1,1,46,48,-2,94,2021-07-18 13:40:00,500154
Svitlana Babushkina_167086,Svitlana Babushkina,3,1,34,25,9,59,2021-07-18 13:45:00,500155
Bohdan Zaika_614433806,Bohdan Zaika,2,1,40,38,2,78,2021-07-18 13:45:00,500156
T Turabekov_123771,T Turabekov,3,1,34,22,12,56,2021-07-18 13:47:00,500157
I Nirkov_123845,I Nirkov,-3,0,26,36,-10,62,2021-07-18 13:49:00,500158
Oleksiy Sapronov_1352776509,Oleksiy Sapronov,1,1,59,45,14,104,2021-07-18 13:50:00,500159
Oleksandr Lysenko_167088,Oleksandr Lysenko,-3,0,23,33,-10,56,2021-07-18 13:50:00,500160
Andrii Dombrovskyi_166922,Andrii Dombrovskyi,-3,0,21,33,-12,54,2021-07-18 13:50:00,500161
Roman Mazur_166859,Roman Mazur,-3,0,21,34,-13,55,2021-07-18 13:50:00,500162
Olena Telezhynska_1620944911,Olena Telezhynska,-2,0,31,42,-11,73,2021-07-18 13:55:00,500163
Artem Chepurnyi_167089,Artem Chepurnyi,-3,0,24,33,-9,57,2021-07-18 13:55:00,500164
Andrii Khvysiuk_1120923672,Andrii Khvysiuk,-1,0,47,49,-2,96,2021-07-18 14:00:00,500165
Vitalii Levytskyi_166874,Vitalii Levytskyi,3,1,34,27,7,61,2021-07-18 14:00:00,500166
Adam Sochor_167052,Adam Sochor,3,1,34,24,10,58,2021-07-18 14:00:00,500167
M Kolar_27723,M Kolar,-2,0,36,44,-8,80,2021-07-18 14:00:00,500168
S Bilyuga_123808,S Bilyuga,-1,0,45,55,-10,100,2021-07-18 14:01:00,500169
Igor Shyndel_166889,Igor Shyndel,3,1,34,19,15,53,2021-07-18 14:05:00,500170
Ruslan Andrischak_1918222564,Ruslan Andrischak,2,1,41,31,10,72,2021-07-18 14:05:00,500171
Valentyn Korovychenko_442438110,Valentyn Korovychenko,2,1,43,37,6,80,2021-07-18 14:10:00,500172
I Minchenkov_123772,I Minchenkov,2,1,37,25,12,62,2021-07-18 14:15:00,500173
R Homenko_123846,R Homenko,1,1,50,41,9,91,2021-07-18 14:15:00,500174
Serhii Baranovskyi_471535846,Serhii Baranovskyi,2,1,44,30,14,74,2021-07-18 14:15:00,500175
Illia Yanishevskiy_820516017,Illia Yanishevskiy,1,1,50,44,6,94,2021-07-18 14:20:00,500176
Mykola Belia_166860,Mykola Belia,1,1,46,43,3,89,2021-07-18 14:20:00,500177
Artem Yurkov_166923,Artem Yurkov,-2,0,42,48,-6,90,2021-07-18 14:20:00,500178
Serhii Tkachev_167090,Serhii Tkachev,-1,0,40,48,-8,88,2021-07-18 14:25:00,500179
Vitalii Krivenko_602000213,Vitalii Krivenko,1,1,50,42,8,92,2021-07-18 14:25:00,500180
Anatolii Kovalenko_166875,Anatolii Kovalenko,-1,0,47,51,-4,98,2021-07-18 14:30:00,500181
Olena Telezhynska_805583681,Olena Telezhynska,-1,0,39,49,-10,88,2021-07-18 14:30:00,500182
Petr Semrad_167053,Petr Semrad,-1,0,43,48,-5,91,2021-07-18 14:30:00,500183
Maksym Skhabovskyi_1653778083,Maksym Skhabovskyi,-3,0,17,33,-16,50,2021-07-18 14:35:00,500184
Roman Makarenko_166890,Roman Makarenko,-3,0,27,35,-8,62,2021-07-18 14:35:00,500185
K Novak_27724,K Novak,1,1,48,40,8,88,2021-07-18 14:35:00,500186
Ihor Syniavskyi_274073040,Ihor Syniavskyi,2,1,40,30,10,70,2021-07-18 14:40:00,500187
A Kuznetsov_123939,A Kuznetsov,2,1,42,27,15,69,2021-07-18 14:40:00,500188
P Medvedev_123937,P Medvedev,3,1,35,25,10,60,2021-07-18 14:44:00,500189
Oleksandr Zhukovskyi_2108305431,Oleksandr Zhukovskyi,-3,0,22,33,-11,55,2021-07-18 14:45:00,500190
Igor Talalai_166924,Igor Talalai,3,1,33,18,15,51,2021-07-18 14:50:00,500191
Oleh Hudyma_166861,Oleh Hudyma,-3,0,28,38,-10,66,2021-07-18 14:50:00,500192
Serhii Boiko_232169339,Serhii Boiko,3,1,33,15,18,48,2021-07-18 14:50:00,500193
Oleksandr Shchytka_1425495787,Oleksandr Shchytka,-1,0,46,49,-3,95,2021-07-18 14:55:00,500194
I Nirkov_123941,I Nirkov,-3,0,18,33,-15,51,2021-07-18 14:55:00,500195
Martin Prusa_167054,Martin Prusa,2,1,38,27,11,65,2021-07-18 15:00:00,500196
Andrii Kaptanovskyi_1600442734,Andrii Kaptanovskyi,-2,0,30,38,-8,68,2021-07-18 15:00:00,500197
Kostiantyn Klymenko_166876,Kostiantyn Klymenko,-3,0,15,33,-18,48,2021-07-18 15:00:00,500198
S Bilyuga_123940,S Bilyuga,1,1,50,47,3,97,2021-07-18 15:01:00,500199
M Kolar_27725,M Kolar,2,1,43,32,11,75,2021-07-18 15:01:00,500200
Veronika Andriushchenko_736077618,Veronika Andriushchenko,-3,0,23,34,-11,57,2021-07-18 15:05:00,500201
Viacheslav Isakov_166891,Viacheslav Isakov,-3,0,27,36,-9,63,2021-07-18 15:05:00,500202
Pavlo Chyzh_957169166,Pavlo Chyzh,-3,0,15,33,-18,48,2021-07-18 15:10:00,500203
Oleksii Romaniv_2102816926,Oleksii Romaniv,1,1,46,41,5,87,2021-07-18 15:15:00,500204
T Turabekov_123938,T Turabekov,1,1,45,44,1,89,2021-07-18 15:16:00,500205
R Homenko_123942,R Homenko,1,1,40,41,-1,81,2021-07-18 15:16:00,500206
Artem Yurkov_166925,Artem Yurkov,2,1,45,37,8,82,2021-07-18 15:20:00,500207
Oleksandr Shkurupii_168654809,Oleksandr Shkurupii,-3,0,16,33,-17,49,2021-07-18 15:20:00,500208
Mariia Volosianska_166937,Mariia Volosianska,-1,0,47,49,-2,96,2021-07-18 15:20:00,500209
Serhii Baranovskyi_1984367417,Serhii Baranovskyi,1,1,52,46,6,98,2021-07-18 15:25:00,500210
Oleg Kolivay_166952,Oleg Kolivay,-1,0,42,42,0,84,2021-07-18 15:30:00,500211
Petr Semrad_167055,Petr Semrad,2,1,42,26,16,68,2021-07-18 15:30:00,500212
Illia Yanishevskiy_441340759,Illia Yanishevskiy,2,1,42,34,8,76,2021-07-18 15:30:00,500213
M Smrcek_27726,M Smrcek,3,1,38,21,17,59,2021-07-18 15:31:00,500214
Oleksandr Liushnia_166969,Oleksandr Liushnia,1,1,50,48,2,98,2021-07-18 15:35:00,500215
